案類,發生日期,發生地點
搶奪,0930101 0905,台中市北區太平路37號        
搶奪,0930101 1415,台中市南區復興路與東興路口  
搶奪,0930102 2005,台中市北區育德與大德路      
搶奪,0930102 2350,台中市北區一中街167巷1號    
搶奪,0930103 2000,台中市東區忠孝路與正義街口  
搶奪,0930103 2130,台中市西屯區文心路四川路口  
搶奪,0930104 0630,台中市西屯區台中港路文心路口
搶奪,0930104 1620,台中市西屯區至善路206號     
搶奪,0930104 2150,台中市北區一中街與育才北路  
搶奪,0930104 2330,台中市北屯區北屯路488號     
搶奪,0930105 1540,台中市北屯區瀋陽路3段129號  
搶奪,0930106 1510,台中市西區五權與英才路口
搶奪,0930107 0000,台中市南屯區大業路190號
搶奪,0930107 2015,台中市南屯區黎明路2段266號
搶奪,0930109 1320,台中市北區北平路與梅川西路口
搶奪,0930109 2005,台中市西區明義街1號
搶奪,0930110 1720,台中市西屯區惠中路市政北七路口
搶奪,0930110 2147,台中市北區五權路300巷
搶奪,0930113 2200,台中市西屯區西屯路上石路口
搶奪,0930114 1135,台中市中區民族路50號
搶奪,0930114 1520,台中市南屯區春安路123號
搶奪,0930114 1915,台中市西屯區漢成七街29號
搶奪,0930114 2155,台中市西屯區上安里上明一街68號
搶奪,0930115 0700,台中市北區忠明路、忠太西街口
搶奪,0930116 2030,台中市中區中華路1段217號
搶奪,0930117 1915,台中市北區綏遠、漢口
搶奪,0930117 2040,台中市西屯區西安街277巷55號
搶奪,0930118 1910,台中市西區美村與昇平街口
搶奪,0930119 1400,台中市南區復興路2段99巷80號
搶奪,0930120 1235,台中市西屯區西屯路2段280號
搶奪,0930120 1405,台中市南屯區文山九街與寶山三街口
搶奪,0930120 2130,台中市北區天津與文昌東二街
搶奪,0930122 0100,台中市西區五權三街18號
搶奪,0930125 2000,台中市北屯區一新一街28巷
搶奪,0930127 1620,台中市南區城隍里台中路230號
搶奪,0930127 2050,台中市西區英才路470巷
搶奪,0930127 2110,台中市北區育德街與五常街口
搶奪,0930130 1750,台中市南區美村南路191巷30號前樓
搶奪,0930130 2200,台中市西屯區安和路119號
搶奪,0930131 1535,台中市南屯區大聖街與大墩18街口
搶奪,0930131 1640,台中市北區青島東路100號
搶奪,0930131 1900,台中市西區中美街
搶奪,0930131 2110,台中市西屯區漢口路大有二街口
搶奪,0930201 0400,台中市西屯區長安路成都路口
搶奪,0930201 0400,台中市北屯區大雅路371號
搶奪,0930203 0724,台中市中區平等街55號
搶奪,0930203 1610,台中市北屯區興安路290號
搶奪,0930204 0905,台中市東區合作里自強街29巷19號前樓
搶奪,0930204 1400,台中市北屯區北興路41號
搶奪,0930205 1500,台中市西屯區台中港路惠中路口
搶奪,0930206 2120,台中市南屯區大聖街354號
搶奪,0930208 1950,台中市西屯區漢口路華美西街口
搶奪,0930209 1106,台中市南屯區大墩14街127號
搶奪,0930209 2050,台中市北區五權路299號
搶奪,0930210 1100,台中市北區漢口與華美街口
搶奪,0930210 1820,台中市北屯區中清路大德巷36弄12號
搶奪,0930210 2100,台中市西區中興與明義街口
搶奪,0930210 2130,台中市西區中美街與長春路口
搶奪,0930212 0215,台中市市政龍門路口檳榔攤
搶奪,0930212 0330,台中市西屯區光明路185號之16
搶奪,0930213 2120,台中市南區德義里國光路與仁義街口
搶奪,0930214 1245,台中市南區崇倫里忠明南路730巷24-1號前樓駕懸掛失牌N
搶奪,0930214 2230,台中市西屯區何南里東興路大墩20街口
搶奪,0930215 1615,台中市西屯區市政北七路惠中三街口
搶奪,0930217 0810,台中市北屯區崇德六路松竹公園前
搶奪,0930217 1340,台中市南屯區大進街大業國中人行道上
搶奪,0930220 1050,台中市北屯區柳陽東街天津路口
搶奪,0930220 1135,台中市中區繼光與綠川西路口
搶奪,0930220 1230,台中市南屯區向上路
搶奪,0930221 1720,台中市北區梅亭、益華
搶奪,0930221 1945,台中市東區雙十路1段8號前樓
搶奪,0930221 2000,台中市南屯區大墩16街29號
搶奪,0930221 2250,台中市北區北平、青島東
搶奪,0930222 0423,台中市北屯區崇德.旅順路
搶奪,0930222 1900,台中市南區國光里台中路與建成路口
搶奪,0930224 1225,台中市南屯區永春路18號
搶奪,0930224 1600,台中市西區金山與民生路口
搶奪,0930224 1830,台中市南屯區大英西二街與向上路口
搶奪,0930224 2140,台中市南屯區南屯路2段16號
搶奪,0930225 0410,台中市中區中華與中山路口
搶奪,0930225 1150,台中市南屯區文心南五路與豐偉路口
搶奪,0930225 1840,台中市北區梅亭與五常街口
搶奪,0930225 2230,台中市西區金山與民生路口
搶奪,0930226 1700,台中市東區富仁里自由路與雙十路口
搶奪,0930226 1935,台中市南區國光里仁和路117號
搶奪,0930226 1950,台中市南屯區大墩11街167號
搶奪,0930226 2210,台中市西區民生與五廊街口
搶奪,0930227 1115,台中市北屯區安順東七街64號之前
搶奪,0930227 2125,台中市南屯區
搶奪,0930228 2340,台中市北區太原路、邱厝北巷
搶奪,0930228 2345,台中市北屯區北屯路293巷文昌東十二街口
搶奪,0930229 2125,台中市北區育德、大德
搶奪,0930301 1030,台中市南區復興路與濟世街口
