區域別,性別,總計,0-4歲合計,5-9歲合計,10-14歲合計,15-19歲合計,20-24歲合計,25-29歲合計,30-34歲合計,35-39歲合計,40-44歲合計,45-49歲合計,50-54歲合計,55-59歲合計,60-64歲合計,65-69歲合計,70-74歲合計,75-79歲合計,80-84歲合計,85-89歲合計,90-94歲合計,95-99歲合計,100歲以上
總計,計,2665613,116740,139433,183648,202774,196099,212326,238002,213946,216492,219015,199180,171791,120479,70768,62983,45282,34036,16512,4932,1032,143
總計,男,1325309,60723,72631,95645,105151,101742,106947,118140,103225,104196,105702,96773,83801,58528,33362,28873,20750,17862,8623,2198,382,55
總計,女,1340304,56017,66802,88003,97623,94357,105379,119862,110721,112296,113313,102407,87990,61951,37406,34110,24532,16174,7889,2734,650,88
中區,計,21555,648,1320,2973,1367,1026,1215,1358,1493,1767,1644,1512,1533,1157,699,681,494,367,212,68,19,2
中區,男,10686,329,720,1586,695,501,625,634,649,760,770,760,790,601,377,330,231,179,112,27,9,1
中區,女,10869,319,600,1387,672,525,590,724,844,1007,874,752,743,556,322,351,263,188,100,41,10,1
東區,計,73952,3048,3162,3924,4956,5384,5942,6830,5799,5683,5981,5794,5271,3879,2295,2148,1546,1345,692,207,49,17
東區,男,37208,1607,1627,2095,2615,2802,3009,3467,2869,2883,2946,2854,2615,1879,1048,951,673,739,379,115,22,13
東區,女,36744,1441,1535,1829,2341,2582,2933,3363,2930,2800,3035,2940,2656,2000,1247,1197,873,606,313,92,27,4
南區,計,115135,5606,6199,6507,8383,7663,8452,10793,10999,11101,9894,8186,6944,5089,2862,2595,1784,1235,613,184,37,9
南區,男,55784,2902,3183,3457,4305,3913,4162,5097,5084,5259,4703,3826,3228,2418,1329,1178,766,583,296,78,12,5
南區,女,59351,2704,3016,3050,4078,3750,4290,5696,5915,5842,5191,4360,3716,2671,1533,1417,1018,652,317,106,25,4
西區,計,117299,4450,6101,9093,8213,7675,8262,9161,9289,10103,9758,9045,8096,6243,3575,3245,2243,1539,851,282,68,7
西區,男,56201,2334,3167,4746,4216,3947,4023,4334,4100,4420,4516,4198,3802,3004,1653,1473,992,715,406,127,26,2
西區,女,61098,2116,2934,4347,3997,3728,4239,4827,5189,5683,5242,4847,4294,3239,1922,1772,1251,824,445,155,42,5
北區,計,147660,5527,6583,8961,10282,10399,11291,12745,11404,11888,12340,11993,11063,8078,4418,3863,2789,2177,1294,436,105,24
