編號,單位別,縣市別代碼,行政區域代碼,區別,地址,電話
1,臺中市政府警察局,10019,66000170,潭子區,臺中市潭子區豐興路1段500號,(04)23274440
2,保安警察大隊,10019,66000170,潭子區,臺中市潭子區豐興路1段500號,(04)23270230
3,刑事警察大隊,10019,66000060,西屯區,臺中市西屯區文心路2段588號,(04)23287086
4,交通警察大隊,10019,66000060,西屯區,臺中市西屯區大隆路192號,(04)23293337
5,交通警察大隊直屬第一中隊,10019,66000060,西屯區,臺中市西屯區大隆路192號,(04)23274655
6,交通警察大隊直屬第二中隊,10019,66000080,北屯區,臺中市北屯區昌平路2段63號,(04)24210612
7,交通警察大隊直屬第三中隊,10019,66000090,豐原區,臺中市豐原區中山路225號,(04)25288110
8,交通警察大隊第一交通分隊,10019,66000040,西區,臺中市西區三民路1段162號,(04)22235372
9,交通警察大隊第二交通分隊,10019,66000050,北區,臺中市北區中正路440號2樓,(04)22068398
10,交通警察大隊第三交通分隊,10019,66000030,南區,臺中市東區振興路6號,(04)22296010
11,交通警察大隊第四交通分隊,10019,66000070,南屯區,臺中市南屯區大墩路229號,(04)24719926
12,交通警察大隊第五交通分隊,10019,66000080,北屯區,臺中市北屯區北屯路106號,(04)22310991
13,交通警察大隊第六交通分隊,10019,66000060,西屯區,臺中市西屯區市政路456號,(04)22513309
14,交通警察大隊豐原交通分隊,10019,66000090,豐原區,臺中市豐原區西安街21號,(04)25292181
15,交通警察大隊大甲交通分隊,10019,66000110,大甲區,臺中市大甲區工二路2號,(04)26820785
16,交通警察大隊清水交通分隊,10019,66000130,沙鹿區,臺中市沙鹿區鎮政路12號,(04)26625032
17,交通警察大隊烏日交通分隊,10019,66000230,烏日區,臺中市烏日區五光路281號,(04)23381960
18,交通警察大隊霧峰交通分隊,10019,66000260,霧峰區,臺中市霧峰區四德路82號,(04)23335679
19,交通警察大隊太平交通分隊,10019,66000270,太平區,臺中市太平區中山路1段215號,(04)23914572
20,交通警察大隊東勢交通分隊,10019,66000100,東勢區,中和街五段118巷48之1號,(04)25823745
21,交通警察大隊大雅交通分隊,10019,66000180,大雅區,臺中市大雅區中清東路226號,(04)25662054
22,少年警察隊,10019,66000070,南屯區,臺中市南屯區干城街2號2樓,(04)22583190
23,婦幼警察隊,10019,66000060,西屯區,臺中市西屯區文心路2段588號,(04)23201307
24,第一分局,10019,66000040,西區,臺中市西區三民路1段178號,(04)22223725
25,第一分局西區派出所,10019,66000040,西區,臺中市西區三民路1段178號,(04)22222632
26,第一分局民權派出所,10019,66000040,西區,臺中市西區民權路258號,(04)22012710
27,第一分局公益派出所,10019,66000040,西區,臺中市西區精誠23街30號,(04)24727640
