年份,月份,區域別,性別,總計,0歲,1歲,2歲,3歲,4歲,5歲,6歲,7歲,8歲,9歲,10歲,11歲,12歲,13歲,14歲,15歲,16歲,17歲,18歲,19歲,20歲,21歲,22歲,23歲,24歲,25歲,26歲,27歲,28歲,29歲,30歲,31歲,32歲,33歲,34歲,35歲,36歲,37歲,38歲,39歲,40歲,41歲,42歲,43歲,44歲,45歲,46歲,47歲,48歲,49歲,50歲,51歲,52歲,53歲,54歲,55歲,56歲,57歲,58歲,59歲,60歲,61歲,62歲,63歲,64歲,65歲,66歲,67歲,68歲,69歲,70歲,71歲,72歲,73歲,74歲,75歲,76歲,77歲,78歲,79歲,80歲,81歲,82歲,83歲,84歲,85歲,86歲,87歲,88歲,89歲,90歲,91歲,92歲,93歲,94歲,95歲,96歲,97歲,98歲,99歲,100歲以上
109,1,總計,計,2642877,19799,22853,25442,28056,28852,27445,22725,26741,23264,19640,21806,21933,23038,21812,21166,21512,21572,23237,23270,27980,26369,24335,29155,29091,30569,29545,29697,29688,29763,32574,30668,35555,32563,32496,37691,41364,42974,45812,47503,46475,46896,45472,41070,48120,39501,39153,38490,38118,39163,40404,40256,39704,37937,38990,39309,40181,40420,39606,38929,39705,39214,39889,37816,39371,38894,37266,36139,36040,35881,31858,30144,25804,23248,18298,14738,16725,16550,15774,15110,14547,13129,11806,10671,9597,8950,7983,7282,6892,6375,5617,4970,4240,3483,2898,2218,1652,1257,981,742,462,912
109,1,總計,男,1258801,10233,11748,13041,14486,14958,14049,11743,13759,12107,10241,11278,11454,11974,11293,11199,11311,11227,12095,12021,14544,13668,12671,14985,14880,15735,15157,14991,15066,15128,16410,15098,17097,15612,14999,17621,19489,20142,21672,22238,21815,21921,21367,19098,22451,18058,18113,18103,17607,18113,18669,18468,18226,17506,18059,18264,18569,18576,18377,17986,18417,17980,18438,17142,18093,18116,17337,16681,16634,16418,14360,13542,11791,10476,8412,6541,7413,7238,6949,6329,6121,5370,4794,4244,3741,3468,3241,3025,2992,2918,2618,2329,1971,1645,1352,1060,764,577,487,342,212,457
109,1,總計,女,1384076,9566,11105,12401,13570,13894,13396,10982,12982,11157,9399,10528,10479,11064,10519,9967,10201,10345,11142,11249,13436,12701,11664,14170,14211,14834,14388,14706,14622,14635,16164,15570,18458,16951,17497,20070,21875,22832,24140,25265,24660,24975,24105,21972,25669,21443,21040,20387,20511,21050,21735,21788,21478,20431,20931,21045,21612,21844,21229,20943,21288,21234,21451,20674,21278,20778,19929,19458,19406,19463,17498,16602,14013,12772,9886,8197,9312,9312,8825,8781,8426,7759,7012,6427,5856,5482,4742,4257,3900,3457,2999,2641,2269,1838,1546,1158,888,680,494,400,250,455
109,1,松山區,計,204043,1392,1621,1814,2090,2131,2191,1963,2359,2067,1924,2103,2281,2285,1924,1770,1747,1682,1812,1758,2159,1994,1781,2124,2150,2212,2101,2064,2137,2000,2235,2154,2449,2312,2172,2574,2898,3004,3172,3364,3452,3487,3397,3091,3798,3148,3191,3035,2992,3221,3096,3042,3038,2934,2921,2844,3030,2987,2908,2878,2908,2856,2954,2795,2924,2984,2824,2919,2827,2908,2630,2525,2268,2092,1692,1285,1481,1414,1327,1266,1258,981,959,874,781,759,637,622,573,571,447,437,374,352,282,200,154,114,109,79,38,103
109,1,松山區,男,95406,737,841,892,1079,1085,1091,1033,1216,1037,1010,1065,1185,1210,976,941,929,887,921,924,1117,1035,954,1050,1113,1157,1067,1090,1061,1012,1116,1006,1154,1104,1003,1127,1336,1380,1488,1494,1545,1607,1520,1339,1672,1317,1422,1326,1341,1484,1371,1375,1276,1372,1332,1230,1396,1313,1281,1343,1346,1267,1286,1230,1310,1402,1308,1285,1262,1282,1209,1118,994,962,766,559,662,628,625,565,552,426,387,324,300,277,252,274,275,259,209,195,154,165,132,93,71,58,49,31,20,52
109,1,松山區,女,108637,655,780,922,1011,1046,1100,930,1143,1030,914,1038,1096,1075,948,829,818,795,891,834,1042,959,827,1074,1037,1055,1034,974,1076,988,1119,1148,1295,1208,1169,1447,1562,1624,1684,1870,1907,1880,1877,1752,2126,1831,1769,1709,1651,1737,1725,1667,1762,1562,1589,1614,1634,1674,1627,1535,1562,1589,1668,1565,1614,1582,1516,1634,1565,1626,1421,1407,1274,1130,926,726,819,786,702,701,706,555,572,550,481,482,385,348,298,312,238,242,220,187,150,107,83,56,60,48,18,51
109,1,信義區,計,219744,1647,1901,2079,2218,2279,2080,1679,1852,1631,1409,1429,1335,1450,1429,1546,1515,1693,1740,1894,2241,2052,1868,2409,2392,2554,2476,2574,2545,2567,2837,2678,3132,2762,2880,3272,3479,3591,3833,3976,3809,3860,3726,3305,3881,3152,3170,3179,3135,3145,3263,3323,3246,3164,3371,3344,3358,3437,3348,3286,3273,3387,3389,3216,3373,3356,3238,3174,3144,3258,2895,2808,2399,2151,1708,1416,1523,1544,1466,1410,1341,1179,1008,894,831,783,679,636,577,557,532,442,372,297,266,227,165,125,83,64,45,87
109,1,信義區,男,104441,835,989,1049,1112,1153,1093,873,954,873,733,766,699,745,742,853,793,883,930,1002,1166,1071,993,1229,1230,1294,1300,1284,1287,1292,1426,1331,1506,1317,1336,1524,1669,1697,1775,1860,1755,1852,1781,1543,1837,1453,1482,1587,1438,1450,1533,1544,1474,1409,1538,1545,1539,1576,1623,1507,1496,1553,1576,1441,1553,1546,1512,1426,1404,1431,1255,1261,1052,964,769,629,652,656,621,567,559,503,396,342,332,303,273,288,256,275,255,240,186,156,158,129,77,67,48,40,22,42
109,1,信義區,女,115303,812,912,1030,1106,1126,987,806,898,758,676,663,636,705,687,693,722,810,810,892,1075,981,875,1180,1162,1260,1176,1290,1258,1275,1411,1347,1626,1445,1544,1748,1810,1894,2058,2116,2054,2008,1945,1762,2044,1699,1688,1592,1697,1695,1730,1779,1772,1755,1833,1799,1819,1861,1725,1779,1777,1834,1813,1775,1820,1810,1726,1748,1740,1827,1640,1547,1347,1187,939,787,871,888,845,843,782,676,612,552,499,480,406,348,321,282,277,202,186,141,108,98,88,58,35,24,23,45
109,1,大安區,計,307526,2132,2525,2787,3334,3449,3541,3034,3750,3237,2935,3241,3334,3517,2955,2752,2673,2623,2734,2648,3234,2966,2702,3074,3150,3196,3090,2944,2955,2876,3171,2821,3439,3062,3191,3658,4149,4220,4600,4901,4979,5117,5149,4617,5589,4578,4598,4487,4445,4540,4600,4672,4425,4265,4358,4440,4611,4470,4381,4317,4417,4298,4376,4333,4446,4324,4460,4327,4474,4527,4185,4022,3550,3317,2572,2058,2278,2283,2117,2046,1974,1779,1593,1401,1329,1269,1163,1004,1019,903,769,755,597,526,467,351,254,198,147,148,86,146
109,1,大安區,男,143049,1127,1273,1423,1742,1784,1839,1554,1946,1682,1523,1683,1712,1827,1543,1432,1396,1377,1420,1345,1663,1495,1389,1594,1611,1608,1545,1511,1401,1410,1538,1375,1621,1408,1422,1675,1829,1914,2068,2163,2193,2212,2247,2011,2451,1953,1977,1994,2012,2012,2021,2081,1996,1901,1934,2024,2092,2044,2010,1961,2008,1892,1991,1906,1938,1987,2026,1902,2010,2032,1807,1808,1602,1502,1182,928,1028,1027,941,847,856,724,695,555,527,506,502,438,437,414,362,353,277,231,200,158,121,86,78,65,39,67
109,1,大安區,女,164477,1005,1252,1364,1592,1665,1702,1480,1804,1555,1412,1558,1622,1690,1412,1320,1277,1246,1314,1303,1571,1471,1313,1480,1539,1588,1545,1433,1554,1466,1633,1446,1818,1654,1769,1983,2320,2306,2532,2738,2786,2905,2902,2606,3138,2625,2621,2493,2433,2528,2579,2591,2429,2364,2424,2416,2519,2426,2371,2356,2409,2406,2385,2427,2508,2337,2434,2425,2464,2495,2378,2214,1948,1815,1390,1130,1250,1256,1176,1199,1118,1055,898,846,802,763,661,566,582,489,407,402,320,295,267,193,133,112,69,83,47,79
109,1,中山區,計,227266,1758,1981,2114,2306,2336,2296,1890,2058,1780,1416,1529,1486,1564,1639,1590,1628,1670,1729,1856,2099,2069,1923,2360,2329,2385,2436,2482,2479,2578,2794,2656,3083,2841,2840,3392,3582,3775,4014,4194,4106,4061,3887,3498,4019,3303,3359,3365,3347,3287,3539,3480,3534,3416,3473,3563,3525,3709,3577,3513,3582,3555,3670,3453,3527,3663,3434,3304,3308,3340,2948,2830,2315,2193,1689,1202,1476,1481,1373,1329,1266,1170,1033,943,815,844,769,644,621,588,514,404,361,282,228,182,123,91,75,48,29,66
109,1,中山區,男,105497,905,1025,1086,1200,1169,1151,965,1068,964,705,812,766,811,829,823,837,859,875,930,1101,1081,985,1208,1155,1229,1251,1255,1258,1308,1394,1306,1456,1323,1261,1560,1687,1677,1825,1920,1981,1867,1815,1592,1813,1463,1482,1569,1503,1479,1637,1541,1557,1487,1530,1554,1572,1640,1572,1589,1594,1527,1637,1462,1535,1570,1501,1447,1442,1485,1358,1245,1066,994,785,544,648,660,593,564,524,501,452,362,294,327,306,255,260,248,226,172,149,123,112,79,53,35,35,24,10,30
