る,︽現跋,ń计_瞷Τ礟,ń计_め膟祅癘,綟计_瞷Τ礟,綟计_め膟祅癘,め计,计_璸,计_╧,计_
1る,羆璸,456,456,9584,9564,1060206,2642877,1258801,1384076
1る,猀,33,33,764,763,81289,204043,95406,108637
1る,獺竡,41,41,904,903,89351,219744,104441,115303
1る,,53,53,1026,1022,121609,307526,143049,164477
1る,い,42,42,871,869,100682,227266,105497,121769
1る,いタ,31,31,583,583,65697,157743,75103,82640
1る,,25,25,522,520,51900,125909,61086,64823
1る,窾地,36,36,725,725,79252,186848,91507,95341
1る,ゅ,43,43,1004,1001,107333,271674,129917,141757
1る,玭翠,20,20,454,452,47575,120161,58703,61458
1る,ず打,39,39,912,910,109495,285526,136057,149469
1る,狶,51,51,996,995,108095,283282,136455,146827
1る,щ,42,42,823,821,97928,253155,121580,131575
2る,羆璸,456,456,9585,9567,1059903,2639084,1256806,1382278
2る,猀,33,33,764,763,81194,203658,95163,108495
2る,獺竡,41,41,904,903,89271,219315,104178,115137
2る,,53,53,1026,1022,121548,307129,142836,164293
2る,い,42,42,871,869,100610,226852,105290,121562
2る,いタ,31,31,583,583,65663,157567,75025,82542
2る,,25,25,522,520,51920,125755,60976,64779
2る,窾地,36,36,725,725,79249,186428,91288,95140
2る,ゅ,43,43,1004,1001,107307,271339,129760,141579
2る,玭翠,20,20,455,455,47623,120028,58656,61372
2る,ず打,39,39,912,910,109484,285228,135902,149326
2る,狶,51,51,996,995,108031,282774,136178,146596
2る,щ,42,42,823,821,98003,253011,121554,131457
3る,羆璸,456,456,9585,9568,1060047,2635286,1254826,1380460
3る,猀,33,33,764,763,81183,203315,94982,108333
3る,獺竡,41,41,904,903,89178,218764,103936,114828
3る,,53,53,1026,1022,121462,306660,142650,164010
3る,い,42,42,871,869,100646,226455,105069,121386
3る,いタ,31,31,583,583,65733,157476,74974,82502
3る,,25,25,522,521,51970,125565,60834,64731
3る,窾地,36,36,725,725,79274,186033,91081,94952
3る,ゅ,43,43,1004,1001,107349,271028,129563,141465
3る,玭翠,20,20,455,455,47753,119966,58607,61359
3る,ず打,39,39,912,910,109480,284944,135748,149196
3る,狶,51,51,996,995,108012,282294,135962,146332
3る,щ,42,42,823,821,98007,252786,121420,131366
4る,羆璸,456,456,9585,9568,1059749,2631083,1252726,1378357
4る,猀,33,33,764,763,81126,202930,94795,108135
4る,獺竡,41,41,904,903,89168,218372,103731,114641
4る,,53,53,1026,1022,121413,306161,142425,163736
4る,い,42,42,871,869,100631,226098,104882,121216
4る,いタ,31,31,583,583,65730,157198,74861,82337
4る,,25,25,522,521,51948,125374,60725,64649
4る,窾地,36,36,725,725,79199,185647,90869,94778
4る,ゅ,43,43,1004,1001,107348,270565,129328,141237
4る,玭翠,20,20,455,455,47838,119892,58594,61298
4る,ず打,39,39,912,910,109427,284653,135588,149065
4る,狶,51,51,996,995,107951,281836,135743,146093
4る,щ,42,42,823,821,97970,252357,121185,131172
5る,羆璸,456,456,9588,9569,1059822,2626385,1250381,1376004
5る,猀,33,33,764,763,81062,202547,94667,107880
5る,獺竡,41,41,904,903,89123,217857,103475,114382
5る,,53,53,1026,1022,121429,305616,142171,163445
5る,い,42,42,871,869,100624,225762,104692,121070
5る,いタ,31,31,583,582,65721,156884,74717,82167
5る,,25,25,522,521,51982,125152,60599,64553
5る,窾地,36,36,725,724,79183,185255,90638,94617
5る,ゅ,43,43,1007,1004,107384,270144,129136,141008
5る,玭翠,20,20,455,455,47905,119759,58521,61238
5る,ず打,39,39,912,910,109499,284268,135421,148847
5る,狶,51,51,996,995,107969,281312,135492,145820
5る,щ,42,42,823,821,97941,251829,120852,130977
