公共設施種類,行政區,段號,段名,地號,土地面積/平方公尺,公共設施名稱
兒童遊樂場,南港區,667,玉成段四小段,174,66,新勝
兒童遊樂場,南港區,667,玉成段四小段,177-2,210,新勝
兒童遊樂場,南港區,667,玉成段四小段,175,1893,新勝
兒童遊樂場,南港區,667,玉成段四小段,519,2383,成德
兒童遊樂場,南港區,668,玉成段五小段,202,1058,萬福
兒童遊樂場,南港區,668,玉成段五小段,204,895,萬福
兒童遊樂場,南港區,673,新光段一小段,176-22,7,東坡
兒童遊樂場,南港區,673,新光段一小段,176-24,1,東坡
兒童遊樂場,南港區,673,新光段一小段,176-5,597,東坡
兒童遊樂場,南港區,673,新光段一小段,176-7,186,東坡
兒童遊樂場,南港區,673,新光段一小段,176-9,7,東坡
兒童遊樂場,南港區,673,新光段一小段,176-43,48,東坡
兒童遊樂場,南港區,673,新光段一小段,176-15,338,東坡
兒童遊樂場,南港區,675,新光段三小段,255,2756,百福
兒童遊樂場,士林區,946,至善段三小段,177,2,
兒童遊樂場,士林區,946,至善段三小段,182-1,21,
兒童遊樂場,士林區,946,至善段三小段,169,77,
兒童遊樂場,士林區,946,至善段三小段,497,18,外雙溪
兒童遊樂場,士林區,946,至善段三小段,231,1233,
兒童遊樂場,士林區,946,至善段三小段,514,846,外雙溪
兒童遊樂場,士林區,946,至善段三小段,170,608,
兒童遊樂場,士林區,946,至善段三小段,403-1,80,
兒童遊樂場,士林區,946,至善段三小段,168,22,
兒童遊樂場,士林區,951,翠山段二小段,929,122,
兒童遊樂場,士林區,951,翠山段二小段,857,68,
兒童遊樂場,士林區,951,翠山段二小段,863,36,
兒童遊樂場,士林區,951,翠山段二小段,892,13,
兒童遊樂場,士林區,951,翠山段二小段,935,4,
兒童遊樂場,士林區,951,翠山段二小段,927,164,
運動場,文山區,67,興安段四小段,25,1,文山運動中心
運動場,文山區,67,興安段四小段,31,80,文山運動中心
運動場,文山區,67,興安段四小段,36,58,文山運動中心
運動場,文山區,67,興安段四小段,20,136,文山運動中心
運動場,文山區,67,興安段四小段,7月3日,1347,文山運動中心
運動場,文山區,67,興安段四小段,32,1559,文山運動中心
運動場,文山區,67,興安段四小段,30,30,文山運動中心
運動場,文山區,67,興安段四小段,26,100,文山運動中心
運動場,文山區,67,興安段四小段,28,83,文山運動中心
運動場,文山區,67,興安段四小段,8月2日,13,文山運動中心
運動場,文山區,67,興安段四小段,24,544,文山運動中心
運動場,文山區,67,興安段四小段,27,23,文山運動中心
運動場,文山區,67,興安段四小段,1月30日,2,文山運動中心
